source,target,weight,Class,source-title,target-title,source-publisher, target-publisher,source-time,target-time,from-pub-uri,to-pub-uri,source-url, target-url
English1,German1,0.226,Information-Not-Propagated,New bugs- found in Kenya- can help to control major maize pests,Schweizer Künstlerin Franziska Lantz: Schönheit im Hässlichen,Nigeria Sun,taz.de,2020-04-29T07:35:00Z,2020-04-29T15:06:00Z,nigeriasun.com,taz.de,https://www.nigeriasun.com/news/264880895/new-bugs-found-in-kenya-can-help-to-control-major-maize-pests,https://taz.de/!5681084/
English10,English8,0.284,Information-Not-Propagated,"Billie Eilish & Finneas Perform Live Acoustic Concert "" American Songwriter",Letters (April 29- 2020),American Songwriter,Micah Jakob,2020-04-29T06:18:00Z,2020-04-29T06:47:00Z,americansongwriter.com,theava.com,https://americansongwriter.com/billie-eilish-finneas-perform-live-acoustic-concert/,https://www.theava.com/archives/124670
English100,English12,0.386,Information-Not-Propagated,Pruitt guts EPA science panels- will appoint new members,Rex Murphy: In Fort McMurray- it never rains- but it pours,Jim Roberts Realty,National Post,2017-10-31T23:54:00Z,2020-04-29T06:08:00Z,dothaneagle.com,nationalpost.com,http://www.dothaneagle.com/news/ap/business/pruitt-guts-epa-science-panels-will-appoint-new-members/article_e03598b2-1821-5255-8232-8470fe723cf3.html,https://nationalpost.com/opinion/rex-murphy-in-fort-mcmurray-it-never-rains-but-it-pours
English101,English990,0.353,Information-Not-Propagated,Earth to overshoot global warming targets- U.N. warns in blunt report,Lawsuit challenges school's policy about passing out Bibles,Yahoo,The Seattle Times,2017-10-31T23:34:00Z,2019-01-31T23:11:00Z,yahoo.com,seattletimes.com,https://www.yahoo.com/news/apos-track-blow-past-international-170257377.html,https://www.seattletimes.com/nation-world/nation/lawsuit-challenges-schools-policy-about-passing-out-bibles/
English102,English599,0.395,Information-Not-Propagated,Can Japan burn flammable ice for energy?,The Black Market: Tomb Mold- Immortal- And More Of The Best New Metal Of June 2018,GantDaily.com - Local News for Clearfield / State College / Philipsburg / DuBois / And Surrounding Areas,Stereogum,2017-10-31T23:30:00Z,2018-06-30T01:09:00Z,gantdaily.com,,http://gantdaily.com/2017/10/31/can-japan-burn-flammable-ice-for-energy/,
English103,English79,0.23,Information-Not-Propagated,Climate change could reduce number of valuable Maritime trees- ecologist says,Quickly catch up on the day's news: Thursday- November 30,CBC News,Erie News Now - Your News Team,2017-10-31T23:19:00Z,2017-11-30T21:58:00Z,cbc.ca,erienewsnow.com,http://www.cbc.ca/news/canada/prince-edward-island/pei-acadian-forest-trees-climate-change-anthony-taylor-1.4380349,http://www.erienewsnow.com/story/36966083/quickly-catch-up-on-the-days-news-thursday-november-30
English104,English102,0.964,Information-Propagated,Can Japan burn flammable ice for energy? ,Can Japan burn flammable ice for energy?,CNN International,GantDaily.com - Local News for Clearfield / State College / Philipsburg / DuBois / And Surrounding Areas,2017-10-31T23:18:00Z,2017-10-31T23:30:00Z,edition.cnn.com,gantdaily.com,http://www.cnn.com/2017/10/31/asia/on-japan-flammable-ice/index.html,http://gantdaily.com/2017/10/31/can-japan-burn-flammable-ice-for-energy/
English105,English11,0.929,Information-Propagated,Pruitt guts EPA science panels- will appoint new members,All signs point to an active hurricane season,canada.com,Mashable Middle East,2017-10-31T22:50:00Z,2020-04-29T06:09:00Z,canada.com,me.mashable.com,http://www.canada.com/business/pruitt+guts+science+panels+will+appoint+members/15440009/story.html,https://me.mashable.com/science/10106/all-signs-point-to-an-active-hurricane-season
English106,English12,0.482,Unsure,Worrying gap between climate pledges and emissions cuts,Rex Murphy: In Fort McMurray- it never rains- but it pours,Scoop Independent News,National Post,2017-10-31T22:44:00Z,2020-04-29T06:08:00Z,scoop.co.nz,nationalpost.com,http://www.scoop.co.nz/stories/WO1711/S00008/worrying-gap-between-climate-pledges-and-emissions-cuts.htm,https://nationalpost.com/opinion/rex-murphy-in-fort-mcmurray-it-never-rains-but-it-pours
English107,English936,0.316,Information-Not-Propagated,UN: Governments need to do more to meet Paris Agreement goals- Canada's existing emissions targets too low,Feds to investigate spike in gray whale deaths on West Coast,CBC News,KRON 4 News,2017-10-31T22:41:00Z,2019-05-31T22:10:00Z,cbc.ca,kron4.com,http://www.cbc.ca/news/politics/paris-agreement-alarming-gap-climate-change-canada-no-plan-1.4381128,https://www.kron4.com/news/california/feds-to-investigate-spike-in-gray-whale-deaths-on-west-coast-1/2043033291
English108,English105,0.975,Information-Propagated,Pruitt guts EPA science panels- will appoint new members,Pruitt guts EPA science panels- will appoint new members,nwi.com,canada.com,2017-10-31T22:37:00Z,2017-10-31T22:50:00Z,nwitimes.com,canada.com,http://www.nwitimes.com/business/pruitt-guts-epa-science-panels-will-appoint-new-members/article_7a2ab41c-29eb-5459-adc1-ce3174dbacbc.html,http://www.canada.com/business/pruitt+guts+science+panels+will+appoint+members/15440009/story.html
English109,English99,0.972,Information-Propagated,Pruitt guts EPA science panels- will appoint new members,Callander seeks time capsule items,The Denver Post,North Bay Nugget,2017-10-31T22:36:00Z,2017-11-30T18:07:00Z,denverpost.com,nugget.ca,http://www.denverpost.com/2017/10/31/scott-pruitt-epa-guts-science-panels/,http://www.nugget.ca/2017/11/30/callander-seeks-time-capsule-items
English11,English4,0.246,Information-Not-Propagated,All signs point to an active hurricane season,Coronavirus halts climate research and raises fears of long-term hit to science budgets - The Us Posts,Mashable Middle East,The Us Posts,2020-04-29T06:09:00Z,2020-04-29T07:20:00Z,me.mashable.com,theusposts.com,https://me.mashable.com/science/10106/all-signs-point-to-an-active-hurricane-season,https://theusposts.com/coronavirus-halts-climate-research-and-raises-fears-of-long-term-hit-to-science-budgets/
English110,English841,0.293,Information-Not-Propagated,Pruitt guts EPA science panels- will appoint new members,Hurricane warning for the Azores as Lorenzo approaches after setting intensity records - EntornoInteligente,MPR News,Entorno Inteligente,2017-10-31T22:34:00Z,2019-09-30T22:11:00Z,mprnews.org,entornointeligente.com,https://www.mprnews.org/story/2017/10/31/pruitt-guts-epa-science-panels-will-appoint-new-members,https://www.entornointeligente.com/hurricane-warning-for-the-azores-as-lorenzo-approaches-after-setting-intensity-records/
